Year,State,Ag District,Ag District Code,County,Value
1999,ILLINOIS,EAST,50,CHAMPAIGN,51
1998,ILLINOIS,EAST,50,CHAMPAIGN,44.5
1997,ILLINOIS,EAST,50,CHAMPAIGN,48
1996,ILLINOIS,EAST,50,CHAMPAIGN,47.5
1995,ILLINOIS,EAST,50,CHAMPAIGN,43.5
1994,ILLINOIS,EAST,50,CHAMPAIGN,50
1993,ILLINOIS,EAST,50,CHAMPAIGN,48.5
1992,ILLINOIS,EAST,50,CHAMPAIGN,48
1991,ILLINOIS,EAST,50,CHAMPAIGN,34.5
1990,ILLINOIS,EAST,50,CHAMPAIGN,43.5
1989,ILLINOIS,EAST,50,CHAMPAIGN,44
1988,ILLINOIS,EAST,50,CHAMPAIGN,29
1987,ILLINOIS,EAST,50,CHAMPAIGN,45
1986,ILLINOIS,EAST,50,CHAMPAIGN,42
1985,ILLINOIS,EAST,50,CHAMPAIGN,50
1984,ILLINOIS,EAST,50,CHAMPAIGN,35.5
1983,ILLINOIS,EAST,50,CHAMPAIGN,38.5
1982,ILLINOIS,EAST,50,CHAMPAIGN,43
1981,ILLINOIS,EAST,50,CHAMPAIGN,38
1980,ILLINOIS,EAST,50,CHAMPAIGN,36.5
2022,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,69.5
2021,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,71.2
2020,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,65.9
2018,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,73.6
2017,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,65.6
2016,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,62.9
2015,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,60.2
2014,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,58
2013,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,56.7
2012,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,55.8
2011,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,52.4
2010,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,60.5
2009,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,55
2008,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,53
2007,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,51
2006,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,54
2005,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,53
2004,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,52
2003,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,46
2002,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,49
2001,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,48
2000,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,49
1999,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,45
1998,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,47.5
1997,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,42.5
1996,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,42
1995,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,39.5
1994,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,48
1993,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,46.5
1992,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,47.5
1991,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,46.5
1990,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,40.5
1989,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,45.5
1988,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,30.5
1987,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,41.5
1986,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,48
1985,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,48.5
1984,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,34.5
1983,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,30.5
1982,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,42.5
1981,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,42
1980,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,36.5
2022,ILLINOIS,EAST SOUTHEAST,70,CLARK,61.3
2021,ILLINOIS,EAST SOUTHEAST,70,CLARK,65.5
2020,ILLINOIS,EAST SOUTHEAST,70,CLARK,58.4
2018,ILLINOIS,EAST SOUTHEAST,70,CLARK,64.1
2017,ILLINOIS,EAST SOUTHEAST,70,CLARK,56.5
2015,ILLINOIS,EAST SOUTHEAST,70,CLARK,60.1
2014,ILLINOIS,EAST SOUTHEAST,70,CLARK,57.2
2013,ILLINOIS,EAST SOUTHEAST,70,CLARK,48.9
2012,ILLINOIS,EAST SOUTHEAST,70,CLARK,38.3
2011,ILLINOIS,EAST SOUTHEAST,70,CLARK,44.9
2010,ILLINOIS,EAST SOUTHEAST,70,CLARK,49.4
2009,ILLINOIS,EAST SOUTHEAST,70,CLARK,39
2008,ILLINOIS,EAST SOUTHEAST,70,CLARK,46
2007,ILLINOIS,EAST SOUTHEAST,70,CLARK,45
2006,ILLINOIS,EAST SOUTHEAST,70,CLARK,49
2005,ILLINOIS,EAST SOUTHEAST,70,CLARK,48
2004,ILLINOIS,EAST SOUTHEAST,70,CLARK,52
2003,ILLINOIS,EAST SOUTHEAST,70,CLARK,42
2002,ILLINOIS,EAST SOUTHEAST,70,CLARK,43
2001,ILLINOIS,EAST SOUTHEAST,70,CLARK,46
2000,ILLINOIS,EAST SOUTHEAST,70,CLARK,44
1999,ILLINOIS,EAST SOUTHEAST,70,CLARK,33
1998,ILLINOIS,EAST SOUTHEAST,70,CLARK,39
1997,ILLINOIS,EAST SOUTHEAST,70,CLARK,39.5
1996,ILLINOIS,EAST SOUTHEAST,70,CLARK,35
1995,ILLINOIS,EAST SOUTHEAST,70,CLARK,41
1994,ILLINOIS,EAST SOUTHEAST,70,CLARK,42.5
1993,ILLINOIS,EAST SOUTHEAST,70,CLARK,40.5
1992,ILLINOIS,EAST SOUTHEAST,70,CLARK,42.5
1991,ILLINOIS,EAST SOUTHEAST,70,CLARK,38.5
1990,ILLINOIS,EAST SOUTHEAST,70,CLARK,37
1989,ILLINOIS,EAST SOUTHEAST,70,CLARK,36.5
1988,ILLINOIS,EAST SOUTHEAST,70,CLARK,26.5
